ลำดับ,รายชื่อสถานประกอบการ,หลักสูตร,จังหวัดที่ตั้ง
247.0,สำนักวัฒนธรรม กีฬา และการท่องเที่ยว กรุงเทพมหานคร,ท่องเที่ยว,กรุงเทพมหานคร
248.0,องค์การบริหารการพัฒนาพื้นที่พิเศษเพื่อการท่องเที่ยวอย่างยั่งยืน (องค์การมหาชน) อพท.,ท่องเที่ยว,โปรดค้นหา
249.0,องค์การบริหารส่วนจังหวัดนครศรีธรรมราช,ท่องเที่ยว,นครศรีธรรมราช
250.0,องค์การบริหารส่วนจังหวัดสุราษฎร์ธานี,ท่องเที่ยว,สุราษฎร์ธานี
251.0,อวานี พลัส เขาหลัก,ท่องเที่ยว,โปรดค้นหา
252.0,ศูนย์สหกิจศึกษาและพัฒนาอาชีพ ม.วลัยลักษณ์ ,ท่องเที่ยว,โปรดค้นหา
253.0,โรงแรม ทวินปาล์มส์ ภูเก็ต,ท่องเที่ยว,ภูเก็ต
254.0,Hungkuang University,ท่องเที่ยว,โปรดค้นหา
255.0,National Kaohsiung University of Hospitality and Tourism,ท่องเที่ยว,โปรดค้นหา
256.0,บริษัท ฟรีดอม ดอลฟิน จำกัด,ท่องเที่ยว,โปรดค้นหา
416.0,บริษัท ขอบสนาม จำกัด,นิเทศศาตร์,โปรดค้นหา
417.0,บริษัท เคเท็นโกลบอลคอนเทนต์ จำกัด,นิเทศศาตร์,โปรดค้นหา
418.0,บริษัท จีเอ็มเอ็ม โอ ช้อปปิ้ง จำกัด,นิเทศศาตร์,โปรดค้นหา
419.0,บริษัท เช็ค แอนด์ โชว์ จำกัด,นิเทศศาตร์,โปรดค้นหา
420.0,บริษัท เซ้นส์ เอนเตอร์เทนเมนท์ จำกัด,นิเทศศาตร์,โปรดค้นหา
421.0,บริษัท ดิ วันโอวัน เปอร์เซนต์ จำกัด,นิเทศศาตร์,โปรดค้นหา
422.0,บริษัท ทริปเปิล วี บรอดคาสท์ จำกัด,นิเทศศาตร์,โปรดค้นหา
423.0,บริษัท ทิปปิ้ง พ้อยท์ โซลูชั่น จำกัด,นิเทศศาตร์,โปรดค้นหา
424.0,บริษัท นัมเบอร์วันแลนด์ จำกัด,นิเทศศาตร์,โปรดค้นหา
425.0,บริษัท บางกอก มีเดีย แอนด์ บรอดคาสติ้ง จำกัด (PPTV HD ช่อง 36),นิเทศศาตร์,โปรดค้นหา
426.0,บริษัท บางกอก เว็บ โซลูชั่น จำกัด,นิเทศศาตร์,โปรดค้นหา
427.0,บริษัท บางกอกเอ็นเตอร์เทนเมนท์ จำกัด (ไทยทีวีสีช่อง 3 ฝ่ายข่าว),นิเทศศาตร์,โปรดค้นหา
428.0,บริษัท บีอีซี-เทโร เอ็นเตอร์เทนเม้นท์ จำกัด (มหาชน) ฝ่ายผลิตรายการโทรทัศน์,นิเทศศาตร์,โปรดค้นหา
429.0,บริษัท บุ๊คสเคป จำกัด,นิเทศศาตร์,โปรดค้นหา
430.0,บริษัท ประกิต โฮลดิ้งส์ จํากัด,นิเทศศาตร์,โปรดค้นหา
431.0,บริษัท ปรากฏการณ์ดี จำกัด,นิเทศศาตร์,โปรดค้นหา
432.0,บริษัท พาราดิซัล มีเดีย จำกัด,นิเทศศาตร์,โปรดค้นหา
433.0,บริษัท พินปังก์ จำกัด,นิเทศศาตร์,โปรดค้นหา
434.0,บริษัท ม็อกกิ้งเบิร์ด จำกัด,นิเทศศาตร์,โปรดค้นหา
435.0,บริษัท มาร์เก็ตเธียร์ จำกัด,นิเทศศาตร์,โปรดค้นหา
436.0,บริษัท มุมใหม่ จำกัด,นิเทศศาตร์,โปรดค้นหา
437.0,บริษัท วงใน มีเดีย จำกัด,นิเทศศาตร์,โปรดค้นหา
438.0,บริษัท วงใน มีเดีย จำกัด สาขาหาดใหญ่,นิเทศศาตร์,โปรดค้นหา
439.0,บริษัท สองมือโปรดักชั่น จำกัด,นิเทศศาตร์,โปรดค้นหา
440.0,บริษัท อีเวนต์แฟลร์ จำกัด,นิเทศศาตร์,โปรดค้นหา
441.0,โรงพยาบาลพญาไท 2,นิเทศศาตร์,โปรดค้นหา
442.0,โรงพยาบาลศูนย์การแพทย์มหาวิทยาลัยวลัยลักษณ์,นิเทศศาตร์,โปรดค้นหา
443.0,สถานีวิทยุโทรทัศน์แห่งประเทศไทย จังหวัดภูเก็ต,นิเทศศาตร์,ภูเก็ต
444.0,สถานีวิทยุโทรทัศน์แห่งประเทศไทย ช่อง 11 จังหวัดนครศรีธรรมราช,นิเทศศาตร์,นครศรีธรรมราช
445.0,สำนักงานประชาสัมพันธ์จังหวัดเชียงใหม่,นิเทศศาตร์,เชียงใหม่
446.0,สำนักงานประชาสัมพันธ์จังหวัดภูเก็ต,นิเทศศาตร์,ภูเก็ต
447.0,องค์การกระจายเสียงและแพร่ภาพสาธารณะแห่งประเทศไทย,นิเทศศาตร์,แพร่
448.0,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน) สาขานครศรีธรรมราช,นิเทศศาตร์,นครศรีธรรมราช
449.0,บริษัท มติชน จำกัด (มหาชน),นิเทศศาตร์,โปรดค้นหา
450.0,บริษัท เวิร์คพอยท์ เอ็นเทอร์เทนเมนท์ จำกัด (มหาชน),นิเทศศาตร์,โปรดค้นหา
451.0,บริษัท ลากูน่า บันยันทรี จำกัด,นิเทศศาตร์,โปรดค้นหา
452.0,บริษัท ทีวีพูล จำกัด,นิเทศศาตร์,โปรดค้นหา
453.0,บริษัท อาร์วายไอไอไอ จำกัด,นิเทศศาตร์,โปรดค้นหา
454.0,สโมสรฟุตบอล นครราชสีมา มาสด้า เอฟซี,นิเทศศาตร์,นครราชสีมา
455.0,กองกิจการพลเรือน กองทัพภาคที่ 4 ค่ายวชิราวุธ,นิเทศศาตร์,โปรดค้นหา
456.0,เซ็นทรัล เฟสติวัล สมุย,นิเทศศาตร์,โปรดค้นหา
457.0,บริษัท จัดหางาน จ๊อบบีเคเค ดอท คอม จำกัด สาขานครศรีธรรมราช,นิเทศศาตร์,นครศรีธรรมราช
458.0,สำนักประชาสัมพันธ์เขต 6 กรมประชาสัมพันธ์,นิเทศศาตร์,โปรดค้นหา
459.0,บริษัท ยานแม่ จำกัด,นิเทศศาตร์,โปรดค้นหา
460.0,สถานีโทรทัศน์แห่งประเทศไทย จังหวัดสุราษฎร์ธานี,นิเทศศาตร์,สุราษฎร์ธานี
461.0,สถานีวิทยุกระจายเสียงแห่งประเทศไทย จังหวัดสงขลา,นิเทศศาตร์,สงขลา
462.0,บริษัท ทอล์ค ออฟ เดอะ ทาวน์ โปรเจค จำกัด,นิเทศศาตร์,โปรดค้นหา
463.0,บริษัท เซ้นส์ มอร์ คอร์ปอเรชั่น จำกัด,นิเทศศาตร์,โปรดค้นหา
464.0,สถานีวิทยุโทรทัศน์แห่งประเทศไทย,นิเทศศาตร์,โปรดค้นหา
465.0,สำนักงานประชาสัมพันธ์จังหวัดนครศรีธรรมราช,นิเทศศาตร์,นครศรีธรรมราช
466.0,บริษัท บุญมีฤทธิ์ มีเดีย จำกัด,นิเทศศาตร์,โปรดค้นหา
467.0,บริษัท เตชภัช จำกัด (Elite Event Thailand),นิเทศศาตร์,โปรดค้นหา
468.0,บริษัท ที-เรค เอ็นเตอร์เทนเมนท์ จำกัด,นิเทศศาตร์,โปรดค้นหา
469.0,ห้างหุ้นส่วนจำกัด บลิส อีเวนส์ (ไทยแลนด์) เกาะสมุย,นิเทศศาตร์,โปรดค้นหา
470.0,อ้าปากค้างสตูดิโอ,นิเทศศาตร์,โปรดค้นหา
471.0,กองกิจการพลเรือน กองทัพภาคที่ 4 ค่ายวชิราวุธ,นิเทศศาตร์,โปรดค้นหา
472.0,การท่องเที่ยวแห่งประเทศไทย สำนักงานนครศรีธรรมราช,นิเทศศาตร์,นครศรีธรรมราช
473.0,เซ็นทรัล เฟสติวัล สมุย,นิเทศศาตร์,โปรดค้นหา
474.0,บริษัท จินเล่อ มีเดีย เวิร์ค จำกัด,นิเทศศาตร์,โปรดค้นหา
475.0,บริษัท ไทย บรอดคาสติ้ง จำกัด,นิเทศศาตร์,โปรดค้นหา
476.0,บริษัท แพลน บี อีเลฟเว้น จำกัด,นิเทศศาตร์,โปรดค้นหา
477.0,สถานีโทรทัศน์เพื่อการท่องเที่ยวและกีฬา (T-Sport 7),นิเทศศาตร์,โปรดค้นหา
478.0,Harian Disway,นิเทศศาตร์,โปรดค้นหา
479.0,RheinMain University of Applied Sciences,นิเทศศาตร์,โปรดค้นหา
617.0,โรงแรม คาเพลล่า แบงค็อก,โปรเชฟ,โปรดค้นหา
618.0,โรงแรม เจดับบลิว แมริออท ภูเก็ต รีสอร์ท แอนด์ สปา,โปรเชฟ,ภูเก็ต
619.0,โรงแรม เซ็นทารา อ่าวนาง บีช รีสอร์ท แอนด์ สปา กระบี่,โปรเชฟ,กระบี่
620.0,โรงแรม เดอะ นาคา ไอแลนด์ อะลักชัวรี่ คอลเลคชั่น รีสอร์ท แอนด์ สปา ภูเก็ต,โปรเชฟ,ภูเก็ต
621.0,โรงแรม บันยันทรี ภูเก็ต,โปรเชฟ,ภูเก็ต
622.0,โรงแรม พาร์ค ไฮแอท กรุงเทพ,โปรเชฟ,โปรดค้นหา
623.0,โรงแรม พูลแมน ภูเก็ต อาเคเดีย ในทอน บีช,โปรเชฟ,ภูเก็ต
624.0,โรงแรม โฟร์ซีซั่นส์ รีสอร์ท เกาะสมุย,โปรเชฟ,โปรดค้นหา
625.0,โรงแรม โฟร์พ้อยท์ส บาย เชอราตัน ภูเก็ต ป่าตองบีช รีสอร์ท,โปรเชฟ,ภูเก็ต
626.0,"โรงแรม ภูเก็ตแมริออท รีสอร์ท แอนด์ สปา, เมอร์ลิน บีช",โปรเชฟ,ภูเก็ต
627.0,โรงแรม โรสวูด ภูเก็ต,โปรเชฟ,ภูเก็ต
628.0,โรงแรม วนาเบล อะ ลักซูรี่ คอลเล็คชั่น รีสอร์ท เกาะสมุย,โปรเชฟ,โปรดค้นหา
629.0,โรงแรม วี วิลล่า ภูเก็ต,โปรเชฟ,ภูเก็ต
630.0,โรงแรม ศรีพันวา ภูเก็ต,โปรเชฟ,ภูเก็ต
631.0,โรงแรม อนันตรา ลายัน ภูเก็ต รีสอร์ท,โปรเชฟ,ภูเก็ต
632.0,โรงแรม อัล มีรอซ กรุงเทพ,โปรเชฟ,โปรดค้นหา
633.0,โรงแรม อินเตอร์คอนติเนนตัล ภูเก็ต กมลา บีช รีสอร์ท,โปรเชฟ,ภูเก็ต
634.0,โรงแรม ไฮแอท รีเจนซี่ เกาะสมุย,โปรเชฟ,โปรดค้นหา
635.0,โรงแรมดุสิตธานี ลากูน่า ภูเก็ต,โปรเชฟ,ภูเก็ต
636.0,โรงแรมเลอ เมอริเดียน ภูเก็ต บีช รีสอร์ท,โปรเชฟ,ภูเก็ต
637.0,โรงแรมฮอลิเดย์ อินน์ รีสอร์ท ภูเก็ต,โปรเชฟ,ภูเก็ต
638.0,โรงแรมตรีสรา ภูเก็ต,โปรเชฟ,ภูเก็ต
639.0,โรงแรม ภูเก็ต แมริออท รีสอร์ท แอนด์ สปา ในยางบีช,โปรเชฟ,ภูเก็ต
640.0,โรงแรม เรเนอซองส์ ภูเก็ต รีสอร์ท แอนด์ สปา,โปรเชฟ,ภูเก็ต
641.0,โรงแรมอมันปุรี รีสอร์ท,โปรเชฟ,โปรดค้นหา
642.0,Central Retail Corporation (CRC Talent Acquisition),โปรเชฟ,โปรดค้นหา
643.0,บริษัท ซีพีเอฟ ฟู้ด แอนด์ เบฟเวอร์เรจ จำกัด จังหวัดพระนครศรีอยุธยา,โปรเชฟ,พระนครศรีอยุธยา
644.0,โรงแรม เอาท์ริกเกอร์ สุรินทร์บีช รีสอร์ท,โปรเชฟ,สุรินทร์
645.0,โรงแรมกะตะธานีภูเก็ตบีชรีสอร์ท,โปรเชฟ,ภูเก็ต
646.0,โรงแรม เลอ เมอริเดียน เขาหลัก รีสอร์ท แอนด์ สปา,โปรเชฟ,โปรดค้นหา
647.0,โรงแรมอนันตรา ไม้ขาว ภูเก็ต วิลล่า,โปรเชฟ,ภูเก็ต
648.0,โรงแรมเกาะยาวใหญ่วิลเลจ,โปรเชฟ,โปรดค้นหา
649.0,โรงแรม อนันตรา เกาะยาวใหญ่ รีสอร์ท,โปรเชฟ,โปรดค้นหา
650.0,โรงแรมพูลแมน ภูเก็ต พันวาบีช รีสอร์ท,โปรเชฟ,ภูเก็ต
651.0,โรงแรม เดอะ เวสทิน สิเหร่ เบย์ รีสอร์ท แอนด์ สปา ภูเก็ต,โปรเชฟ,ภูเก็ต
652.0,โรงแรม คอนราด เกาะสมุย รีสอร์ท แอนด์ สปา,โปรเชฟ,โปรดค้นหา
653.0,โรงแรม คามาลายา จำกัด,โปรเชฟ,โปรดค้นหา
654.0,โรงแรม คิมป์ตัน คีตาเล สมุย,โปรเชฟ,โปรดค้นหา
655.0,โรงแรม เชอราตัน สมุย รีสอร์ท,โปรเชฟ,โปรดค้นหา
656.0,โรงแรม ซิกเซ้นส์ สมุย,โปรเชฟ,โปรดค้นหา
657.0,โรงแรม ดับเบิ้ลยู เกาะสมุย,โปรเชฟ,โปรดค้นหา
658.0,โรงแรม เดอะ ริทซ์-คาร์ลตัน เกาะสมุย,โปรเชฟ,โปรดค้นหา
659.0,โรงแรม บันยันทรี กระบี่,โปรเชฟ,กระบี่
660.0,โรงแรม บันยันทรี เกาะสมุย,โปรเชฟ,โปรดค้นหา
661.0,โรงแรม ศาลาสมุย เชิงมน บีช,โปรเชฟ,โปรดค้นหา
662.0,โรงแรม ศิลาวดี พูล สปา แอนด์ รีสอร์ท,โปรเชฟ,โปรดค้นหา
663.0,โรงแรม อนันตรา บ่อผุด รีสอร์ท แอนด์ สปา เกาะสมุย,โปรเชฟ,โปรดค้นหา
664.0,โรงแรม อนันตรา ลาวาณา เกาะสมุย รีสอร์ท,โปรเชฟ,โปรดค้นหา
665.0,โรงแรม อินดิโก้ ภูเก็ต ป่าตอง,โปรเชฟ,ภูเก็ต
666.0,โรงแรม ฮอลิเดย์ อินน์ รีสอร์ท ภูเก็ต ไม้ขาวบีช,โปรเชฟ,ภูเก็ต
667.0,โรงแรม คลับเมด ภูเก็ต,โปรเชฟ,ภูเก็ต
668.0,อวานี พลัส เขาหลัก,โปรเชฟ,โปรดค้นหา
669.0,"Courtyard by Marriott Phuket, Patong Beach Resort",โปรเชฟ,โปรดค้นหา
670.0,โรงแรม คิมป์ตัน มาลัย กรุงเทพ,โปรเชฟ,โปรดค้นหา
671.0,โรงแรม ฮอลิเดย์ อินน์ วานา นาวา หัวหิน,โปรเชฟ,โปรดค้นหา
672.0,Day and Night @ Nakhon Si Thammarat,โปรเชฟ,โปรดค้นหา
673.0,โรงแรมโนราบุรี รีสอร์ท แอนด์ สปา,โปรเชฟ,โปรดค้นหา
674.0,โรงแรม โนราบีช รีสอร์ท แอนด์ สปา,โปรเชฟ,โปรดค้นหา
675.0,โรงแรมทวินโลตัส,โปรเชฟ,โปรดค้นหา
676.0,โรงแรมแกรนด์ ฟอร์จูน นครศรีธรรมราช,โปรเชฟ,นครศรีธรรมราช
677.0,โรงแรม เขาหลัก แมริออท รีสอร์ท แอนด์ สปา,โปรเชฟ,โปรดค้นหา
678.0,โรงแรมอวานีพลัส สมุย รีสอร์ท,โปรเชฟ,โปรดค้นหา
679.0,โรงแรมอินเตอร์คอนติเนนตัล เกาะสมุย รีสอร์ท,โปรเชฟ,โปรดค้นหา
680.0,โรงแรม รอยัล ออคิด เชอราตัน โฮเทล แอนด์ ทาวเวอร์,โปรเชฟ,โปรดค้นหา
681.0,โรงแรม สยาม แอ็ท สยาม,โปรเชฟ,โปรดค้นหา
682.0,โรงแรมเมอเวนพิค มิธ โฮเทล ป่าตอง ภูเก็ต,โปรเชฟ,ภูเก็ต
683.0,Pala Café' Pizza & Pasta ,โปรเชฟ,โปรดค้นหา
684.0,ศูนย์ปฏิบัติการอาหารวลัยลักษณ์,โปรเชฟ,โปรดค้นหา
685.0,โรงแรม ทวินปาล์มส์ ภูเก็ต,โปรเชฟ,ภูเก็ต
686.0,โรงแรม พิมาลัย รีสอร์ท แอนด์ สปา,โปรเชฟ,โปรดค้นหา
687.0,โรงแรมกีมาลา,โปรเชฟ,โปรดค้นหา
688.0,โรงแรม วี กรุงเทพ โฮเทล,โปรเชฟ,โปรดค้นหา
689.0, โรงแรมโรสวูด กรุงเทพ,โปรเชฟ,โปรดค้นหา
